Cycle, Time, Vel_0, Acc_0, TrafficLight, Vel_req, Acc_req, c1, c2, c3, c4, c5
1, 0, -8.83774e-08, -1.76755e-06, 2, 0, 0, 0, 0, 0, 0, 0
2, 0.066, -6.95408e-07, -1.21406e-05, 2, 0, 0, 0, 0, 0, 0, 0
3, 0.121, -5.06996e-06, -8.7491e-05, 2, 0, 0, 0, 0, 0, 0, 0
4, 0.174, -3.68807e-05, -0.000636215, 2, 0, 0, 0, 0, 0, 0, 0
5, 0.231, -0.000267151, -0.0046054, 2, 0, 0, 0, 0, 0, 0, 0
6, 0.28, -0.00191791, -0.0330152, 2, 0, 0, 0, 0, 0, 0, 0
7, 0.337, -0.0138709, -0.23906, 2, 0, 0, 0, 0, 0, 0, 0
8, 0.388, -0.053494, -0.792462, 2, 0, 0, 0, 0, 0, 0, 0
9, 0.442, -0.0339862, 0.390156, 2, -0.0145334, -0.000549823, -0.0339862, 0.390156, -0.0440456, 0.00239243, -5.41885e-05
10, 0.488, -0.00122217, 0.655281, 2, 0.031421, -0.00131805, -0.00122217, 0.655281, -0.0968186, 0.00686688, -0.000202936
11, 0.543, 0.0111061, 0.246566, 2, 0.0234064, -0.000631857, 0.0111061, 0.246566, -0.0224465, 0.000979894, -1.78179e-05
12, 0.589, 0.0191842, 0.161562, 2, 0.0272474, -0.000557034, 0.0191842, 0.161562, -0.0119623, 0.000424247, -6.2648e-06
13, 0.644, 0.0263505, 0.143326, 2, 0.0335043, -0.000562864, 0.0263505, 0.143326, -0.0100362, 0.000336293, -4.69043e-06
14, 0.692, 0.0331965, 0.13692, 2, 0.0400308, -0.000580068, 0.0331965, 0.13692, -0.00940625, 0.000308946, -4.22246e-06
15, 0.749, 0.0399438, 0.134945, 2, 0.0466795, -0.000601441, 0.0399438, 0.134945, -0.00923627, 0.000301984, -4.1074e-06
16, 0.798, 0.0465868, 0.132861, 2, 0.0532186, -0.000622256, 0.0465868, 0.132861, -0.00905552, 0.00029458, -3.98534e-06
17, 0.853, 0.0532694, 0.133651, 2, 0.0599405, -0.00064627, 0.0532694, 0.133651, -0.00916714, 0.000299861, -4.07814e-06
18, 0.903, 0.0600453, 0.135519, 2, 0.0668096, -0.000671961, 0.0600453, 0.135519, -0.00939072, 0.000310083, -4.25599e-06
19, 0.955, 0.0667811, 0.134715, 2, 0.0735052, -0.000694789, 0.0667811, 0.134715, -0.00934032, 0.00030833, -4.22952e-06
20, 1.026, 0.0734524, 0.133426, 2, 0.0801122, -0.000716866, 0.0734524, 0.133426, -0.00923987, 0.000304382, -4.16552e-06
21, 1.089, 0.0801988, 0.134927, 2, 0.0869333, -0.00074228, 0.0801988, 0.134927, -0.0094268, 0.00031305, -4.31768e-06
22, 1.137, 0.0868953, 0.133931, 2, 0.0935802, -0.000764948, 0.0868953, 0.133931, -0.00935635, 0.000310408, -4.27583e-06
23, 1.195, 0.0933825, 0.129744, 2, 0.0998585, -0.000783343, 0.0933825, 0.129744, -0.00895782, 0.000293416, -3.98917e-06
24, 1.249, 0.0997297, 0.126944, 2, 0.106066, -0.000802543, 0.0997297, 0.126944, -0.00870345, 0.000282825, -3.81352e-06
25, 1.305, 0.105869, 0.122788, 2, 0.111998, -0.000819427, 0.105869, 0.122788, -0.0083145, 0.00026657, -3.54507e-06
26, 1.354, 0.111537, 0.113356, 2, 0.117196, -0.000828977, 0.111537, 0.113356, -0.007416, 0.000229402, -2.94219e-06
27, 1.41, 0.116591, 0.101087, 2, 0.121638, -0.000833409, 0.116591, 0.101087, -0.0062874, 0.000184596, -2.24588e-06
28, 1.461, 0.120966, 0.087488, 2, 0.125334, -0.000834329, 0.120966, 0.087488, -0.00510327, 0.000140233, -1.59582e-06
